,CE appliance,dish washer,electric space heater,electric stove,fridge,washer dryer,main
37,0.0,24.0,45.0,2.0,158.0,3.0,551.479980469
38,0.0,24.0,17.0,2.0,156.0,3.0,545.91998291
39,0.0,24.0,50.0,2.0,154.0,3.0,545.789978027
40,0.0,24.0,55.0,2.0,159.0,3.0,544.91998291
41,0.0,24.0,70.0,2.0,158.0,3.0,561.570007324
42,0.0,23.0,61.0,2.0,155.0,3.0,757.340026855
43,0.0,24.0,61.0,2.0,152.0,3.0,759.320007324
44,0.0,24.0,62.0,2.0,159.0,3.0,762.340026855
45,0.0,23.0,66.0,2.0,158.0,4.0,758.070007324
46,0.0,24.0,68.0,2.0,155.0,3.0,762.209960938
47,0.0,24.0,74.0,2.0,155.0,4.0,766.33001709
48,0.0,23.0,71.0,2.0,158.0,3.0,769.869995117
49,0.0,24.0,72.0,2.0,162.0,3.0,766.880004883
50,0.0,23.0,71.0,2.0,161.0,3.0,764.299987793
51,0.0,24.0,94.0,2.0,158.0,3.0,766.030029297
52,0.0,23.0,72.0,2.0,154.0,3.0,767.529968262
53,0.0,24.0,72.0,2.0,156.0,3.0,763.820007324
54,0.0,24.0,72.0,2.0,156.0,3.0,763.820007324
55,0.0,24.0,72.0,2.0,156.0,3.0,763.820007324
56,0.0,24.0,72.0,2.0,157.0,3.0,765.189941406
57,0.0,24.0,73.0,2.0,155.0,3.0,762.890014648
58,0.0,23.0,72.0,2.0,157.0,3.0,765.010009766
59,0.0,24.0,72.0,2.0,156.0,3.0,766.229980469
60,0.0,24.0,72.0,2.0,156.0,4.0,763.489990234
61,0.0,24.0,72.0,2.0,153.0,4.0,765.0
62,0.0,23.0,71.0,2.0,157.0,3.0,763.679992676
63,0.0,24.0,72.0,2.0,160.0,3.0,766.690002441
64,0.0,23.0,70.0,2.0,279.0,4.0,895.170043945
65,0.0,23.0,73.0,2.0,154.0,3.0,890.429992676
66,0.0,23.0,72.0,2.0,160.0,3.0,763.799987793
67,0.0,24.0,73.0,2.0,161.0,3.0,764.479980469
68,0.0,23.0,71.0,2.0,156.0,3.0,763.209960938
69,0.0,23.0,71.0,2.0,156.0,4.0,761.41998291
70,0.0,23.0,72.0,2.0,161.0,3.0,767.280029297
71,0.0,24.0,73.0,2.0,161.0,3.0,767.010009766
72,0.0,24.0,72.0,2.0,157.0,3.0,766.040039062
73,0.0,23.0,74.0,2.0,164.0,4.0,766.479980469
74,0.0,23.0,72.0,1.0,150.0,4.0,764.479980469
75,0.0,24.0,72.0,2.0,158.0,3.0,765.510009766
76,0.0,24.0,73.0,2.0,156.0,3.0,769.549987793
77,0.0,24.0,73.0,2.0,156.0,3.0,769.549987793
78,0.0,24.0,73.0,2.0,156.0,3.0,769.549987793
79,0.0,24.0,72.0,2.0,158.0,4.0,768.219970703
80,0.0,23.0,73.0,2.0,158.0,3.0,768.540039062
81,0.0,24.0,72.0,2.0,157.0,3.0,768.91003418
82,0.0,24.0,72.0,2.0,159.0,3.0,772.08001709
83,0.0,24.0,71.0,2.0,160.0,4.0,773.83996582
84,0.0,24.0,71.0,2.0,155.0,4.0,776.510009766
85,0.0,24.0,72.0,2.0,159.0,3.0,765.989990234
86,0.0,24.0,72.0,2.0,163.0,3.0,767.309997559
87,0.0,23.0,72.0,2.0,159.0,4.0,769.090026855
88,0.0,23.0,72.0,2.0,160.0,4.0,769.149963379
89,0.0,23.0,71.0,2.0,163.0,3.0,769.380004883
90,0.0,24.0,72.0,2.0,158.0,3.0,768.290039062
91,0.0,24.0,74.0,2.0,156.0,3.0,564.070007324
92,0.0,24.0,75.0,2.0,162.0,3.0,565.58001709
93,0.0,24.0,87.0,2.0,158.0,3.0,570.5
94,0.0,24.0,75.0,2.0,157.0,3.0,569.239990234
95,0.0,24.0,81.0,2.0,158.0,4.0,570.829956055
96,0.0,24.0,74.0,2.0,161.0,3.0,567.049987793
97,0.0,24.0,74.0,2.0,161.0,3.0,567.049987793
98,0.0,24.0,74.0,2.0,161.0,3.0,567.049987793
99,0.0,24.0,76.0,2.0,157.0,3.0,567.850036621
100,0.0,24.0,77.0,2.0,160.0,3.0,568.850036621
101,0.0,24.0,76.0,2.0,163.0,3.0,569.290039062
102,0.0,24.0,76.0,2.0,161.0,3.0,572.239990234
103,0.0,24.0,84.0,2.0,160.0,3.0,573.069946289
104,0.0,24.0,74.0,2.0,161.0,3.0,579.219970703
105,0.0,23.0,74.0,2.0,157.0,3.0,569.359985352
106,0.0,24.0,80.0,2.0,156.0,3.0,569.960021973
107,0.0,23.0,77.0,2.0,161.0,3.0,573.510009766
108,0.0,24.0,77.0,2.0,156.0,3.0,571.809997559
109,0.0,24.0,77.0,2.0,154.0,3.0,568.700012207
110,0.0,24.0,73.0,2.0,155.0,3.0,568.630004883
111,0.0,24.0,74.0,2.0,158.0,4.0,565.119995117
112,0.0,24.0,74.0,2.0,154.0,3.0,568.359985352
113,0.0,24.0,74.0,2.0,156.0,3.0,567.859985352
114,0.0,24.0,75.0,2.0,160.0,4.0,568.100036621
115,0.0,24.0,74.0,2.0,158.0,4.0,564.880004883
116,0.0,0.0,74.0,2.0,159.0,3.0,543.429992676
117,0.0,0.0,74.0,2.0,159.0,3.0,543.429992676
118,0.0,0.0,74.0,2.0,159.0,3.0,543.429992676
119,0.0,0.0,75.0,2.0,160.0,3.0,542.530029297
120,0.0,0.0,74.0,2.0,161.0,3.0,542.729980469
121,0.0,0.0,74.0,2.0,157.0,3.0,542.440002441
122,0.0,0.0,74.0,2.0,155.0,3.0,540.190002441
123,0.0,0.0,74.0,2.0,162.0,3.0,543.190002441
124,0.0,0.0,76.0,2.0,157.0,3.0,549.929992676
125,0.0,0.0,75.0,2.0,156.0,3.0,541.799987793
126,0.0,0.0,75.0,2.0,157.0,3.0,543.030029297
127,0.0,0.0,74.0,2.0,159.0,3.0,540.929992676
128,0.0,0.0,75.0,2.0,156.0,3.0,540.049987793
129,0.0,0.0,74.0,2.0,157.0,3.0,538.799987793
130,0.0,0.0,72.0,2.0,160.0,3.0,541.829956055
131,0.0,0.0,73.0,2.0,158.0,3.0,541.760009766
132,0.0,0.0,76.0,2.0,158.0,3.0,542.600036621
133,0.0,0.0,72.0,2.0,162.0,3.0,539.969970703
134,0.0,0.0,73.0,2.0,159.0,3.0,538.880004883
135,0.0,0.0,72.0,2.0,156.0,3.0,540.630004883
136,0.0,0.0,73.0,2.0,160.0,3.0,542.690002441
137,0.0,0.0,75.0,2.0,156.0,3.0,540.49005127
138,0.0,0.0,75.0,2.0,156.0,3.0,540.49005127
139,0.0,0.0,75.0,2.0,156.0,3.0,540.49005127
140,0.0,0.0,73.0,2.0,158.0,3.0,537.270019531
141,0.0,0.0,79.0,2.0,161.0,3.0,546.420043945
142,0.0,0.0,75.0,2.0,160.0,3.0,545.41998291
143,0.0,0.0,75.0,2.0,156.0,3.0,551.940002441
144,0.0,0.0,74.0,2.0,160.0,3.0,551.020019531
145,0.0,0.0,69.0,2.0,162.0,3.0,540.980041504
146,0.0,0.0,68.0,2.0,159.0,3.0,533.679992676
147,0.0,0.0,70.0,2.0,162.0,3.0,534.769958496
148,0.0,0.0,69.0,2.0,161.0,3.0,537.590026855
149,0.0,0.0,76.0,2.0,158.0,3.0,538.190002441
150,0.0,0.0,82.0,2.0,160.0,3.0,557.140014648
151,0.0,0.0,77.0,2.0,162.0,3.0,549.920043945
152,0.0,0.0,79.0,2.0,158.0,3.0,552.399963379
153,0.0,0.0,78.0,2.0,156.0,3.0,545.979980469
154,0.0,0.0,95.0,2.0,160.0,3.0,547.850036621
155,0.0,0.0,76.0,2.0,161.0,3.0,545.549987793
156,0.0,0.0,78.0,2.0,156.0,3.0,542.609985352
157,0.0,0.0,78.0,2.0,149.0,3.0,548.16998291
158,0.0,0.0,78.0,2.0,149.0,3.0,548.16998291
159,0.0,0.0,78.0,2.0,149.0,3.0,548.16998291
160,0.0,1.0,78.0,2.0,166.0,3.0,542.570007324
161,0.0,0.0,76.0,2.0,157.0,3.0,545.320007324
162,0.0,0.0,77.0,2.0,161.0,3.0,544.690002441
163,0.0,0.0,82.0,2.0,160.0,3.0,553.320007324
164,0.0,0.0,78.0,2.0,156.0,3.0,553.25
165,0.0,0.0,79.0,2.0,156.0,3.0,543.91998291
166,0.0,0.0,76.0,2.0,160.0,3.0,546.720031738
167,0.0,0.0,75.0,2.0,160.0,3.0,542.869995117
168,0.0,0.0,75.0,2.0,157.0,3.0,546.860046387
169,0.0,0.0,76.0,2.0,158.0,3.0,543.679992676
170,0.0,0.0,74.0,2.0,159.0,3.0,545.040039062
171,0.0,0.0,75.0,2.0,159.0,3.0,542.329956055
172,0.0,0.0,77.0,2.0,157.0,3.0,543.710021973
173,0.0,0.0,76.0,2.0,159.0,3.0,546.610046387
174,0.0,0.0,76.0,2.0,161.0,3.0,543.700012207
175,0.0,0.0,77.0,2.0,160.0,3.0,541.950012207
176,0.0,0.0,77.0,2.0,157.0,3.0,544.369995117
177,0.0,0.0,75.0,2.0,159.0,3.0,545.899963379
178,0.0,0.0,75.0,2.0,159.0,3.0,545.899963379
179,0.0,0.0,75.0,2.0,159.0,3.0,545.899963379
180,0.0,0.0,75.0,2.0,156.0,3.0,546.279968262
181,0.0,0.0,77.0,2.0,157.0,3.0,545.940002441
182,0.0,0.0,77.0,2.0,160.0,3.0,542.020019531
183,0.0,0.0,80.0,2.0,161.0,3.0,553.590026855
184,0.0,0.0,75.0,2.0,160.0,3.0,548.859985352
185,0.0,0.0,76.0,2.0,156.0,3.0,544.579956055
186,0.0,0.0,83.0,2.0,159.0,3.0,544.16998291
187,0.0,0.0,77.0,2.0,160.0,3.0,551.540039062
188,0.0,0.0,77.0,2.0,159.0,3.0,542.760009766
189,0.0,0.0,76.0,2.0,156.0,3.0,544.840026855
190,0.0,0.0,79.0,2.0,158.0,3.0,550.920043945
191,0.0,0.0,71.0,2.0,159.0,3.0,553.019958496
192,0.0,0.0,78.0,2.0,156.0,3.0,551.800048828
193,0.0,0.0,76.0,2.0,156.0,3.0,549.040039062
194,0.0,0.0,93.0,2.0,158.0,3.0,554.219970703
195,0.0,0.0,92.0,2.0,158.0,3.0,547.119995117
196,0.0,0.0,89.0,2.0,153.0,3.0,554.66998291
197,0.0,0.0,83.0,2.0,154.0,3.0,557.039978027
198,0.0,0.0,72.0,2.0,156.0,3.0,561.119995117
199,0.0,0.0,72.0,2.0,156.0,3.0,561.119995117
200,0.0,0.0,72.0,2.0,156.0,3.0,561.119995117
201,0.0,0.0,97.0,2.0,146.0,3.0,546.279968262
202,0.0,0.0,76.0,2.0,161.0,3.0,561.539978027
203,0.0,0.0,98.0,2.0,154.0,3.0,557.899963379
204,0.0,0.0,80.0,2.0,156.0,3.0,573.24005127
205,0.0,0.0,81.0,2.0,158.0,3.0,554.08001709
206,0.0,0.0,96.0,2.0,155.0,3.0,561.570007324
207,0.0,0.0,84.0,2.0,154.0,3.0,553.41998291
208,0.0,0.0,96.0,2.0,154.0,3.0,548.66003418
209,0.0,0.0,87.0,2.0,160.0,3.0,560.789978027
210,0.0,0.0,76.0,2.0,158.0,3.0,554.829956055
211,0.0,0.0,76.0,2.0,155.0,3.0,542.630004883
212,0.0,0.0,75.0,2.0,153.0,3.0,545.519958496
213,0.0,0.0,81.0,2.0,160.0,3.0,552.420043945
214,0.0,0.0,75.0,2.0,161.0,3.0,548.479980469
215,0.0,0.0,79.0,2.0,153.0,3.0,549.16998291
216,0.0,0.0,76.0,2.0,160.0,3.0,545.140014648
217,0.0,0.0,76.0,2.0,159.0,3.0,543.130004883
218,0.0,0.0,74.0,2.0,160.0,3.0,545.630004883
219,0.0,0.0,74.0,2.0,160.0,3.0,545.630004883
220,0.0,0.0,74.0,2.0,160.0,3.0,545.630004883
221,0.0,0.0,74.0,2.0,159.0,3.0,541.880004883
222,0.0,0.0,76.0,2.0,160.0,3.0,559.640014648
223,0.0,0.0,96.0,2.0,158.0,3.0,566.229980469
224,0.0,0.0,78.0,2.0,154.0,3.0,557.289978027
225,0.0,0.0,76.0,2.0,154.0,3.0,544.989990234
226,0.0,0.0,96.0,2.0,157.0,3.0,557.019958496
227,0.0,0.0,74.0,2.0,160.0,3.0,552.020019531
228,0.0,0.0,73.0,2.0,154.0,3.0,543.960021973
229,0.0,0.0,96.0,2.0,156.0,3.0,550.25994873
230,0.0,0.0,97.0,2.0,156.0,3.0,556.119995117
231,0.0,0.0,74.0,2.0,157.0,3.0,546.25
232,0.0,0.0,97.0,2.0,157.0,3.0,552.760009766
233,0.0,0.0,97.0,2.0,155.0,3.0,564.150024414
234,0.0,0.0,96.0,2.0,153.0,3.0,559.349975586
235,0.0,0.0,87.0,2.0,156.0,3.0,556.41003418
236,0.0,0.0,91.0,2.0,158.0,3.0,556.029968262
237,0.0,0.0,88.0,2.0,157.0,4.0,554.900024414
238,0.0,0.0,96.0,2.0,159.0,3.0,564.059997559
239,0.0,0.0,96.0,2.0,159.0,3.0,564.059997559
240,0.0,0.0,93.0,2.0,157.0,3.0,555.769958496
241,0.0,0.0,91.0,2.0,156.0,3.0,557.409973145
242,0.0,0.0,87.0,2.0,156.0,3.0,564.880004883
243,0.0,0.0,77.0,2.0,147.0,3.0,551.960021973
244,0.0,0.0,78.0,2.0,167.0,3.0,550.650024414
245,0.0,0.0,77.0,2.0,160.0,3.0,541.429992676
246,0.0,0.0,88.0,2.0,155.0,3.0,540.429992676
247,0.0,0.0,73.0,2.0,155.0,3.0,536.760009766
248,0.0,0.0,70.0,2.0,157.0,3.0,552.140014648
249,0.0,0.0,73.0,2.0,159.0,3.0,561.08996582
250,0.0,0.0,70.0,2.0,153.0,3.0,567.779968262
251,0.0,0.0,71.0,2.0,155.0,3.0,554.33996582
252,0.0,0.0,95.0,2.0,155.0,3.0,559.570007324
253,0.0,0.0,94.0,2.0,155.0,3.0,571.869995117
254,0.0,0.0,96.0,2.0,158.0,3.0,552.66003418
255,0.0,0.0,76.0,2.0,157.0,3.0,554.599975586
256,0.0,0.0,73.0,2.0,157.0,3.0,565.359985352
257,0.0,0.0,72.0,2.0,156.0,3.0,551.820007324
258,0.0,0.0,73.0,2.0,159.0,3.0,550.289978027
259,0.0,0.0,73.0,2.0,159.0,3.0,550.289978027
260,0.0,0.0,73.0,2.0,159.0,3.0,550.289978027
261,0.0,0.0,70.0,2.0,160.0,3.0,553.059997559
262,0.0,0.0,68.0,2.0,154.0,3.0,756.519958496
263,0.0,0.0,65.0,2.0,153.0,3.0,763.470031738
264,0.0,0.0,69.0,2.0,158.0,3.0,745.640014648
265,0.0,0.0,66.0,2.0,159.0,3.0,745.489990234
266,0.0,0.0,67.0,2.0,154.0,3.0,749.520019531
267,0.0,0.0,66.0,2.0,153.0,3.0,747.440002441
268,0.0,0.0,66.0,2.0,154.0,3.0,749.020019531
269,0.0,0.0,64.0,2.0,155.0,3.0,837.929992676
270,0.0,0.0,65.0,2.0,158.0,3.0,832.949951172
271,0.0,0.0,65.0,2.0,156.0,3.0,836.020019531
272,0.0,0.0,65.0,2.0,152.0,3.0,837.790039062
273,0.0,0.0,65.0,2.0,153.0,3.0,842.630004883
274,0.0,0.0,65.0,2.0,154.0,3.0,841.189941406
275,0.0,0.0,65.0,2.0,155.0,3.0,843.309997559
276,0.0,0.0,64.0,2.0,156.0,3.0,841.059997559
277,0.0,0.0,65.0,2.0,158.0,3.0,839.679992676
278,0.0,0.0,65.0,2.0,158.0,3.0,840.799987793
279,0.0,0.0,65.0,2.0,158.0,3.0,840.799987793
280,0.0,0.0,65.0,2.0,158.0,3.0,840.799987793
281,0.0,0.0,66.0,2.0,158.0,3.0,841.440002441
282,0.0,0.0,65.0,2.0,157.0,3.0,839.200012207
283,0.0,0.0,68.0,2.0,157.0,3.0,844.83996582
284,0.0,0.0,67.0,2.0,160.0,3.0,837.710021973
285,0.0,0.0,67.0,2.0,160.0,3.0,837.710021973
286,0.0,0.0,65.0,2.0,160.0,3.0,840.460021973
287,0.0,0.0,67.0,2.0,151.0,3.0,833.780029297
288,0.0,0.0,66.0,2.0,142.0,3.0,834.229980469
289,0.0,0.0,64.0,2.0,155.0,3.0,836.16003418
290,0.0,0.0,62.0,2.0,156.0,3.0,837.920043945
291,0.0,0.0,64.0,2.0,157.0,3.0,837.969970703
292,0.0,0.0,63.0,2.0,154.0,3.0,838.290039062
293,0.0,0.0,63.0,2.0,153.0,3.0,835.820068359
294,0.0,0.0,65.0,2.0,154.0,3.0,834.890014648
295,0.0,0.0,65.0,2.0,154.0,3.0,838.699951172
296,0.0,0.0,61.0,2.0,155.0,3.0,836.700012207
297,0.0,0.0,62.0,2.0,156.0,3.0,835.020019531
298,0.0,0.0,62.0,2.0,156.0,3.0,832.58996582
299,0.0,0.0,63.0,2.0,158.0,3.0,835.059997559
300,0.0,0.0,62.0,2.0,158.0,3.0,835.700012207
301,0.0,0.0,62.0,2.0,159.0,3.0,837.83001709
302,0.0,0.0,63.0,2.0,155.0,3.0,842.570007324
303,0.0,0.0,63.0,2.0,154.0,3.0,835.380004883
304,0.0,0.0,66.0,2.0,153.0,3.0,830.970031738
305,0.0,0.0,66.0,2.0,153.0,3.0,830.970031738
306,0.0,0.0,60.0,2.0,153.0,3.0,831.520019531
307,0.0,0.0,62.0,2.0,152.0,3.0,832.890014648
308,0.0,0.0,62.0,2.0,158.0,3.0,833.33996582
309,0.0,0.0,61.0,2.0,159.0,3.0,830.020019531
310,0.0,0.0,57.0,2.0,159.0,3.0,831.619995117
311,0.0,0.0,62.0,2.0,159.0,3.0,831.619995117
312,0.0,0.0,61.0,2.0,152.0,3.0,830.849975586
313,0.0,0.0,64.0,2.0,152.0,3.0,832.41998291
314,0.0,0.0,57.0,2.0,152.0,3.0,832.849975586
315,0.0,0.0,61.0,2.0,154.0,3.0,834.109985352
316,0.0,0.0,60.0,2.0,157.0,3.0,834.099975586
317,0.0,0.0,61.0,2.0,157.0,3.0,831.409973145
318,0.0,0.0,61.0,2.0,156.0,3.0,832.099975586
319,0.0,0.0,62.0,2.0,154.0,3.0,836.090026855
320,0.0,0.0,61.0,2.0,154.0,3.0,841.829956055
321,0.0,0.0,60.0,2.0,154.0,3.0,838.900024414
322,0.0,0.0,66.0,2.0,156.0,3.0,830.709960938
323,0.0,0.0,60.0,2.0,154.0,3.0,835.359985352
324,0.0,0.0,60.0,2.0,154.0,3.0,835.359985352
325,0.0,0.0,60.0,2.0,154.0,3.0,835.359985352
326,0.0,0.0,68.0,2.0,154.0,3.0,830.229980469
327,0.0,0.0,60.0,2.0,154.0,3.0,833.959960938
328,0.0,0.0,59.0,2.0,165.0,3.0,829.58996582
329,0.0,0.0,57.0,2.0,161.0,3.0,832.030029297
330,0.0,0.0,74.0,2.0,159.0,3.0,829.069946289
331,0.0,0.0,60.0,2.0,155.0,3.0,829.079956055
332,0.0,0.0,60.0,2.0,153.0,3.0,828.190002441
333,0.0,0.0,62.0,2.0,152.0,3.0,829.510009766
334,0.0,0.0,78.0,2.0,152.0,3.0,826.770019531
335,0.0,0.0,60.0,2.0,157.0,3.0,828.520019531
336,0.0,0.0,60.0,2.0,157.0,3.0,824.790039062
337,0.0,0.0,59.0,2.0,157.0,3.0,827.739990234
338,0.0,0.0,82.0,2.0,155.0,3.0,825.090026855
339,0.0,0.0,78.0,2.0,156.0,3.0,832.760009766
340,0.0,0.0,60.0,2.0,158.0,3.0,833.719970703
341,0.0,0.0,61.0,2.0,155.0,3.0,823.479980469
342,0.0,0.0,59.0,2.0,155.0,3.0,816.020019531
343,0.0,0.0,60.0,2.0,153.0,3.0,817.33996582
344,0.0,0.0,60.0,2.0,153.0,3.0,817.33996582
345,0.0,0.0,81.0,2.0,154.0,3.0,814.719970703
346,0.0,0.0,59.0,2.0,157.0,3.0,815.049987793
347,0.0,0.0,60.0,2.0,158.0,3.0,816.16003418
348,0.0,0.0,58.0,2.0,158.0,3.0,816.760009766
349,0.0,0.0,79.0,2.0,159.0,3.0,817.050048828
350,0.0,0.0,58.0,2.0,154.0,3.0,815.900024414
351,0.0,0.0,60.0,2.0,154.0,3.0,814.979980469
352,0.0,0.0,59.0,2.0,153.0,3.0,813.440002441
353,0.0,0.0,78.0,2.0,153.0,3.0,817.400024414
354,0.0,0.0,59.0,2.0,159.0,3.0,819.5
355,0.0,0.0,58.0,2.0,159.0,3.0,819.369995117
356,0.0,0.0,58.0,2.0,158.0,3.0,820.479980469
357,0.0,0.0,77.0,2.0,158.0,3.0,818.650024414
358,0.0,0.0,58.0,2.0,156.0,3.0,815.599975586
359,0.0,0.0,58.0,2.0,157.0,3.0,822.809997559
360,0.0,0.0,57.0,2.0,158.0,3.0,826.550048828
361,0.0,0.0,75.0,2.0,158.0,3.0,819.429992676
362,0.0,0.0,60.0,2.0,152.0,3.0,815.559997559
363,0.0,0.0,58.0,2.0,152.0,3.0,817.239990234
364,0.0,0.0,57.0,2.0,152.0,3.0,813.5
365,0.0,0.0,58.0,2.0,156.0,3.0,815.020019531
366,0.0,0.0,58.0,2.0,156.0,3.0,815.020019531
367,0.0,0.0,57.0,2.0,158.0,3.0,814.940002441
368,0.0,0.0,75.0,2.0,153.0,3.0,813.690002441
369,0.0,0.0,58.0,2.0,142.0,3.0,810.670043945
370,0.0,0.0,59.0,2.0,161.0,3.0,815.08996582
371,0.0,0.0,56.0,2.0,154.0,3.0,813.380004883
372,0.0,0.0,77.0,2.0,157.0,3.0,816.780029297
373,0.0,0.0,56.0,2.0,156.0,3.0,814.479980469
374,0.0,0.0,60.0,2.0,154.0,3.0,816.239990234
375,0.0,0.0,79.0,2.0,153.0,3.0,814.530029297
376,0.0,0.0,84.0,2.0,158.0,3.0,816.030029297
377,0.0,0.0,57.0,2.0,159.0,3.0,823.179992676
378,0.0,0.0,79.0,2.0,160.0,3.0,830.560058594
379,0.0,0.0,57.0,2.0,158.0,3.0,822.380004883
380,0.0,0.0,81.0,2.0,152.0,3.0,811.929992676
381,0.0,0.0,58.0,2.0,153.0,3.0,813.469970703
382,0.0,0.0,60.0,2.0,154.0,3.0,810.539978027
383,0.0,0.0,57.0,2.0,155.0,3.0,811.549987793
384,0.0,0.0,60.0,2.0,155.0,3.0,811.510009766
385,0.0,0.0,60.0,2.0,155.0,3.0,811.510009766
386,0.0,0.0,57.0,2.0,153.0,3.0,808.140014648
387,0.0,0.0,81.0,2.0,154.0,3.0,811.75
388,0.0,0.0,58.0,2.0,154.0,3.0,810.739990234
389,0.0,0.0,59.0,2.0,154.0,3.0,812.530029297
390,0.0,0.0,57.0,2.0,155.0,3.0,811.91003418
391,0.0,0.0,79.0,2.0,154.0,3.0,811.0
392,0.0,0.0,57.0,2.0,153.0,3.0,808.780029297
393,0.0,0.0,57.0,2.0,152.0,3.0,812.760009766
394,0.0,0.0,57.0,2.0,152.0,3.0,810.969970703
395,0.0,0.0,77.0,2.0,156.0,3.0,811.739990234
396,0.0,0.0,55.0,2.0,156.0,3.0,812.83001709
397,0.0,0.0,57.0,2.0,157.0,3.0,814.880004883
398,0.0,0.0,56.0,2.0,157.0,3.0,816.239990234
399,0.0,0.0,73.0,2.0,155.0,3.0,808.040039062
400,0.0,0.0,56.0,2.0,154.0,3.0,812.949951172
401,0.0,0.0,56.0,2.0,153.0,3.0,811.290039062
402,0.0,0.0,50.0,2.0,160.0,3.0,802.979980469
403,0.0,0.0,51.0,2.0,158.0,3.0,805.429992676
404,0.0,0.0,51.0,2.0,158.0,3.0,805.429992676
405,0.0,0.0,53.0,2.0,152.0,3.0,805.030029297
406,0.0,0.0,74.0,2.0,151.0,3.0,806.5
407,0.0,0.0,48.0,2.0,151.0,3.0,804.010009766
408,0.0,0.0,51.0,2.0,151.0,3.0,804.929992676
409,0.0,0.0,52.0,2.0,157.0,3.0,805.680053711
410,0.0,0.0,57.0,2.0,159.0,4.0,806.0
411,0.0,0.0,50.0,2.0,144.0,4.0,802.599975586
412,0.0,0.0,51.0,2.0,157.0,3.0,807.309997559
413,0.0,0.0,49.0,2.0,152.0,3.0,805.25
414,0.0,0.0,52.0,2.0,154.0,3.0,806.130004883
415,0.0,0.0,48.0,2.0,156.0,3.0,801.309997559
416,0.0,0.0,50.0,2.0,157.0,3.0,808.58996582
417,0.0,0.0,48.0,2.0,156.0,3.0,817.179992676
418,0.0,0.0,3.0,2.0,156.0,3.0,807.08996582
419,0.0,0.0,49.0,2.0,154.0,3.0,809.010009766
420,0.0,0.0,48.0,2.0,152.0,3.0,803.989990234
421,0.0,0.0,82.0,2.0,157.0,3.0,804.549987793
422,0.0,0.0,48.0,2.0,154.0,3.0,805.280029297
423,0.0,0.0,47.0,2.0,157.0,3.0,804.049987793
424,0.0,0.0,47.0,2.0,157.0,3.0,804.049987793
425,0.0,0.0,52.0,2.0,157.0,3.0,802.469970703
426,0.0,0.0,47.0,2.0,156.0,3.0,799.469970703
427,0.0,0.0,49.0,2.0,156.0,3.0,804.400024414
428,0.0,0.0,19.0,2.0,154.0,3.0,806.359985352
429,0.0,0.0,48.0,2.0,154.0,3.0,806.280029297
430,0.0,0.0,49.0,2.0,153.0,3.0,514.770019531
431,0.0,0.0,45.0,2.0,156.0,3.0,513.070007324
432,0.0,0.0,49.0,2.0,155.0,3.0,670.970031738
433,0.0,0.0,34.0,2.0,155.0,3.0,715.859985352
434,0.0,0.0,48.0,2.0,154.0,3.0,721.309997559
435,0.0,0.0,47.0,2.0,155.0,3.0,723.979980469
